Dish Number,재료명,재료,이미지1,이미지2,이미지3,이미지4,이미지5,이미지6,설명1,설명2,설명3,설명4,설명5,설명6,알러지 정보,칼로리,
57,돼지고기 감자 양파볶음,"돼지고기, 감자, 양파, 소금, 후추, 식용유",http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/1.webp,http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/2.webp,http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/3.webp,http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/4.webp,http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/5.webp,http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/6.webp,"돼지고기는 얇게 썰어 준비하고, 감자는 껍질을 벗긴 후 얇게 썰어줍니다. 양파는 채 썰어 준비합니다. 다진 마늘, 소금, 후추, 간장, 참기름도 준비합니다.",팬에 약간의 기름을 두르고 감자를 넣어 중불에서 노릇하게 볶아줍니다.,감자가 반쯤 익으면 돼지고기를 넣고 함께 볶아줍니다. 돼지고기가 익을 때까지 잘 저어줍니다.,"돼지고기가 익으면 다진 마늘과 양파를 넣고, 양파가 부드러워질 때까지 볶아줍니다.",간장과 후추로 간을 맞추며 모든 재료가 고루 어우러지도록 볶아줍니다.,"완성된 볶음을 접시에 담고, 기호에 따라 참기름을 약간 둘러 풍미를 더해 마무리합니다.","돼지고기,대두(간장에 포함될 수 있음)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (57, '돼지고기 감자 양파볶음', '돼지고기, 감자, 양파, 소금, 후추, 식용유', 'http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/57. 돼지고기 감자 양파볶음/6.webp', '돼지고기는 얇게 썰어 준비하고, 감자는 껍질을 벗긴 후 얇게 썰어줍니다. 양파는 채 썰어 준비합니다. 다진 마늘, 소금, 후추, 간장, 참기름도 준비합니다.', '팬에 약간의 기름을 두르고 감자를 넣어 중불에서 노릇하게 볶아줍니다.', '감자가 반쯤 익으면 돼지고기를 넣고 함께 볶아줍니다. 돼지고기가 익을 때까지 잘 저어줍니다.', '돼지고기가 익으면 다진 마늘과 양파를 넣고, 양파가 부드러워질 때까지 볶아줍니다.', '간장과 후추로 간을 맞추며 모든 재료가 고루 어우러지도록 볶아줍니다.', '완성된 볶음을 접시에 담고, 기호에 따라 참기름을 약간 둘러 풍미를 더해 마무리합니다.', '돼지고기,대두(간장에 포함될 수 있음)', '약 400-450 kcal');"
58,돼지고기 마늘 양파구이,"돼지고기, 마늘, 양파, 소금, 후추",http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/1.webp,http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/2.webp,http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/3.webp,http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/4.webp,http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/5.webp,http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/6.webp,"돼지고기는 얇게 썰어 준비하고, 양파는 두껍게 링 모양으로 썰고, 마늘은 통으로 준비합니다. 소금, 후추, 올리브 오일, 간장도 준비합니다.","돼지고기에 소금과 후추로 밑간을 하고, 올리브 오일을 살짝 뿌려 고루 버무려 줍니다.","예열된 팬에 약간의 기름을 두르고, 통마늘과 양파를 넣어 노릇하게 구워줍니다.","팬에 돼지고기를 넣고, 양파와 마늘과 함께 노릇해질 때까지 구워줍니다.","돼지고기와 채소에 간장을 살짝 뿌려 풍미를 더하고, 재료들이 고루 양념에 배도록 잘 저어줍니다.",완성된 구이를 접시에 담아 기호에 따라 파슬리나 참깨를 뿌려 마무리합니다.,"돼지고기,대두(간장에 포함될 수 있음)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (58, '돼지고기 마늘 양파구이', '돼지고기, 마늘, 양파, 소금, 후추', 'http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/1.webp', 'http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/2.webp', 'http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/3.webp', 'http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/4.webp', 'http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/5.webp', 'http://kkms4001.iptime.org:45211/static/58. 돼지고기 마늘 양파구이/6.webp', '돼지고기는 얇게 썰어 준비하고, 양파는 두껍게 링 모양으로 썰고, 마늘은 통으로 준비합니다. 소금, 후추, 올리브 오일, 간장도 준비합니다.', '돼지고기에 소금과 후추로 밑간을 하고, 올리브 오일을 살짝 뿌려 고루 버무려 줍니다.', '예열된 팬에 약간의 기름을 두르고, 통마늘과 양파를 넣어 노릇하게 구워줍니다.', '팬에 돼지고기를 넣고, 양파와 마늘과 함께 노릇해질 때까지 구워줍니다.', '돼지고기와 채소에 간장을 살짝 뿌려 풍미를 더하고, 재료들이 고루 양념에 배도록 잘 저어줍니다.', '완성된 구이를 접시에 담아 기호에 따라 파슬리나 참깨를 뿌려 마무리합니다.', '돼지고기,대두(간장에 포함될 수 있음)', '약 400-450 kcal');"
59,햄 양파덮밥,"햄, 양파, 간장, 설탕, 밥, 마늘",http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/1.webp,http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/2.webp,http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/3.webp,http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/4.webp,http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/5.webp,http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/6.webp,"햄은 먹기 좋은 크기로 자르고, 양파는 채 썰어줍니다. 밥, 간장, 설탕, 다진 마늘, 후추, 참기름도 준비합니다.",팬을 중불로 예열한 후 햄을 넣고 노릇하게 볶아줍니다.,볶은 햄에 양파와 다진 마늘을 넣고 양파가 부드러워질 때까지 함께 볶아줍니다.,"간장, 설탕, 후추를 추가하고 모든 재료가 잘 섞이도록 볶아줍니다.","준비된 밥을 그릇에 담고, 볶아진 햄과 양파를 밥 위에 올립니다.","마지막으로 참기름을 살짝 뿌려 풍미를 더하고, 기호에 따라 참깨나 다진 파를 뿌려 마무리합니다.","돼지고기,대두(간장에 포함될 수 있음)",약 450 kcal,"INSERT INTO test_recipe VALUES (59, '햄 양파덮밥', '햄, 양파, 간장, 설탕, 밥, 마늘', 'http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/1.webp', 'http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/2.webp', 'http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/3.webp', 'http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/4.webp', 'http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/5.webp', 'http://kkms4001.iptime.org:45211/static/59. 햄 양파덮밥/6.webp', '햄은 먹기 좋은 크기로 자르고, 양파는 채 썰어줍니다. 밥, 간장, 설탕, 다진 마늘, 후추, 참기름도 준비합니다.', '팬을 중불로 예열한 후 햄을 넣고 노릇하게 볶아줍니다.', '볶은 햄에 양파와 다진 마늘을 넣고 양파가 부드러워질 때까지 함께 볶아줍니다.', '간장, 설탕, 후추를 추가하고 모든 재료가 잘 섞이도록 볶아줍니다.', '준비된 밥을 그릇에 담고, 볶아진 햄과 양파를 밥 위에 올립니다.', '마지막으로 참기름을 살짝 뿌려 풍미를 더하고, 기호에 따라 참깨나 다진 파를 뿌려 마무리합니다.', '돼지고기,대두(간장에 포함될 수 있음)', '약 450 kcal');"
60,계란 대파 떡볶음,"계란, 대파, 떡, 고추장, 설탕, 간장, 마늘",http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/1.webp,http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/2.webp,http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/3.webp,http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/4.webp,http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/5.webp,http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/6.webp,"떡을 물에 불려두고, 대파는 송송 썰어 준비합니다. 삶은 계란을 껍질을 벗겨 준비하고, 고추장, 간장, 설탕, 다진 마늘, 고춧가루, 물도 준비합니다.","고추장, 간장, 설탕, 다진 마늘, 고춧가루, 물을 넣어 양념장을 만듭니다.",팬에 떡과 준비한 양념장을 넣고 약불에서 서서히 끓입니다. 떡이 양념에 충분히 흡수되도록 잘 저어줍니다.,떡이 반쯤 익었을 때 대파를 넣어 함께 끓입니다. 대파가 살짝 익을 때까지 저어줍니다.,"삶은 계란을 떡과 대파가 끓고 있는 팬에 넣고, 계란이 양념에 고루 배도록 잠시 더 끓여줍니다.",완성된 떡볶음을 그릇에 담고 기호에 따라 참깨를 뿌려 마무리합니다.,"계란,대두(간장에 포함될 수 있음)",약 450 kcal,"INSERT INTO test_recipe VALUES (60, '계란 대파 떡볶음', '계란, 대파, 떡, 고추장, 설탕, 간장, 마늘', 'http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/60. 계란 대파 떡볶음/6.webp', '떡을 물에 불려두고, 대파는 송송 썰어 준비합니다. 삶은 계란을 껍질을 벗겨 준비하고, 고추장, 간장, 설탕, 다진 마늘, 고춧가루, 물도 준비합니다.', '고추장, 간장, 설탕, 다진 마늘, 고춧가루, 물을 넣어 양념장을 만듭니다.', '팬에 떡과 준비한 양념장을 넣고 약불에서 서서히 끓입니다. 떡이 양념에 충분히 흡수되도록 잘 저어줍니다.', '떡이 반쯤 익었을 때 대파를 넣어 함께 끓입니다. 대파가 살짝 익을 때까지 저어줍니다.', '삶은 계란을 떡과 대파가 끓고 있는 팬에 넣고, 계란이 양념에 고루 배도록 잠시 더 끓여줍니다.', '완성된 떡볶음을 그릇에 담고 기호에 따라 참깨를 뿌려 마무리합니다.', '계란,대두(간장에 포함될 수 있음)', '약 450 kcal');"
61,햄 김치 양파볶음,"햄, 김치, 양파, 소금, 후추, 간장, 대파, 마늘",http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/1.webp,http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/2.webp,http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/3.webp,http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/4.webp,http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/5.webp,http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/6.webp,"햄은 먹기 좋은 크기로 자르고, 김치는 작게 썰어줍니다. 양파는 채 썰어 준비합니다. 다진 마늘, 간장, 설탕, 참기름, 후추도 준비합니다.",팬을 중불로 예열한 후 햄을 넣고 노릇하게 볶아줍니다.,햄이 익으면 양파를 넣고 부드러워질 때까지 볶습니다.,김치와 다진 마늘을 팬에 넣고 김치가 부드러워지고 향이 올라올 때까지 볶아줍니다.,"간장, 설탕, 후추를 넣고 모든 재료가 잘 어우러지도록 볶아줍니다.","볶은 재료를 그릇에 담고, 기호에 따라 참기름을 뿌리고 참깨로 장식하여 마무리합니다.","돼지고기 (햄 성분에 따라 다름),대두(간장에 포함될 수 있음)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (61, '햄 김치 양파볶음', '햄, 김치, 양파, 소금, 후추, 간장, 대파, 마늘', 'http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/61. 햄 김치 양파볶음/6.webp', '햄은 먹기 좋은 크기로 자르고, 김치는 작게 썰어줍니다. 양파는 채 썰어 준비합니다. 다진 마늘, 간장, 설탕, 참기름, 후추도 준비합니다.', '팬을 중불로 예열한 후 햄을 넣고 노릇하게 볶아줍니다.', '햄이 익으면 양파를 넣고 부드러워질 때까지 볶습니다.', '김치와 다진 마늘을 팬에 넣고 김치가 부드러워지고 향이 올라올 때까지 볶아줍니다.', '간장, 설탕, 후추를 넣고 모든 재료가 잘 어우러지도록 볶아줍니다.', '볶은 재료를 그릇에 담고, 기호에 따라 참기름을 뿌리고 참깨로 장식하여 마무리합니다.', '돼지고기 (햄 성분에 따라 다름),대두(간장에 포함될 수 있음)', '약 350-400 kcal');"
62,돼지고기 양파 김치전,"돼지고기, 양파, 김치, 밀가루, 소금, 후추, 식용유",http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/1.webp,http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/2.webp,http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/3.webp,http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/4.webp,http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/5.webp,http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/6.webp,"돼지고기를 얇게 썰어 준비하고, 양파는 채 썰고, 김치는 작게 잘라줍니다. 부침가루, 물, 다진 마늘, 소금, 후추도 준비합니다.","큰 볼에 부침가루와 물을 넣고 잘 섞어 반죽을 만듭니다. 반죽에 다진 마늘, 소금, 후추를 넣어 간을 맞춥니다.","반죽에 채 썬 양파, 잘게 썬 김치, 그리고 돼지고기를 넣고 고루 섞어줍니다.","팬을 예열하고 기름을 두른 뒤, 반죽을 적당한 크기로 떠서 팬에 올립니다.",전을 중불에서 앞뒤로 노릇하게 구워줍니다. 속까지 잘 익도록 조리합니다.,"노릇하게 구워진 돼지고기 양파 김치전을 접시에 담고, 기호에 따라 초간장과 함께 서빙합니다.","돼지고기,대두(부침가루에 포함될 수 있음)",약 450-500 kcal,"INSERT INTO test_recipe VALUES (62, '돼지고기 양파 김치전', '돼지고기, 양파, 김치, 밀가루, 소금, 후추, 식용유', 'http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/1.webp', 'http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/2.webp', 'http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/3.webp', 'http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/4.webp', 'http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/5.webp', 'http://kkms4001.iptime.org:45211/static/62. 돼지고기 양파 김치전/6.webp', '돼지고기를 얇게 썰어 준비하고, 양파는 채 썰고, 김치는 작게 잘라줍니다. 부침가루, 물, 다진 마늘, 소금, 후추도 준비합니다.', '큰 볼에 부침가루와 물을 넣고 잘 섞어 반죽을 만듭니다. 반죽에 다진 마늘, 소금, 후추를 넣어 간을 맞춥니다.', '반죽에 채 썬 양파, 잘게 썬 김치, 그리고 돼지고기를 넣고 고루 섞어줍니다.', '팬을 예열하고 기름을 두른 뒤, 반죽을 적당한 크기로 떠서 팬에 올립니다.', '전을 중불에서 앞뒤로 노릇하게 구워줍니다. 속까지 잘 익도록 조리합니다.', '노릇하게 구워진 돼지고기 양파 김치전을 접시에 담고, 기호에 따라 초간장과 함께 서빙합니다.', '돼지고기,대두(부침가루에 포함될 수 있음)', '약 450-500 kcal');"
63,생선 김치 떡찜,"생선, 김치, 떡, 양파, 대파, 다진 마늘, 고춧가루, 간장, 소금, 설탕",http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/1.webp,http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/2.webp,http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/3.webp,http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/4.webp,http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/5.webp,http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/6.webp,"생선과 김치에 다진 마늘, 간장, 고춧가루를 넣고 잘 섞어 양념을 합니다.","양념된 생선과 김치를 냄비에 깔고, 무, 대파, 고추를 차례대로 올립니다.","중불에서 끓이기 시작합니다. 김치와 생선에서 맛이 우러나면서 국물이 점점 진해지고, 채소들이 부드러워집니다.",조리 중간에 떡을 넣고 다시 끓입니다. 떡이 국물에 스며들도록 부드럽게 저으면서 조리합니다.,재료가 모두 잘 익고 떡이 부드러워질 때까지 끓입니다.,"모든 재료가 잘 익고 국물이 충분히 졸아들면 불을 끄고, 그릇에 담아 대파와 고추로 장식하여 완성합니다.","생선(어패류), 대두(간장) 포함",약 350 kcal,"INSERT INTO test_recipe VALUES (63, '생선 김치 떡찜', '생선, 김치, 떡, 양파, 대파, 다진 마늘, 고춧가루, 간장, 소금, 설탕', 'http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/1.webp', 'http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/2.webp', 'http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/3.webp', 'http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/4.webp', 'http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/5.webp', 'http://kkms4001.iptime.org:45211/static/63. 생선 김치 떡찜/6.webp', '생선과 김치에 다진 마늘, 간장, 고춧가루를 넣고 잘 섞어 양념을 합니다.', '양념된 생선과 김치를 냄비에 깔고, 무, 대파, 고추를 차례대로 올립니다.', '중불에서 끓이기 시작합니다. 김치와 생선에서 맛이 우러나면서 국물이 점점 진해지고, 채소들이 부드러워집니다.', '조리 중간에 떡을 넣고 다시 끓입니다. 떡이 국물에 스며들도록 부드럽게 저으면서 조리합니다.', '재료가 모두 잘 익고 떡이 부드러워질 때까지 끓입니다.', '모든 재료가 잘 익고 국물이 충분히 졸아들면 불을 끄고, 그릇에 담아 대파와 고추로 장식하여 완성합니다.', '생선(어패류), 대두(간장) 포함', '약 350 kcal');"
64,생선 김치 떡국,"떡, 생선, 김치, 계란, 대파, 다진 마늘, 소금 또는 간장, 후추, 참기름",http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/1.webp,http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/2.webp,http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/3.webp,http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/4.webp,http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/5.webp,http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/6.webp,"생선과 김치를 다진 마늘, 간장, 고춧가루로 양념해 준비합니다.","양념된 생선, 김치, 무를 냄비에 넣고 물을 추가해 국물 준비를 시작합니다.",냄비를 중불에 올려 국물이 우러나도록 서서히 끓입니다.,떡을 넣고 국물이 깊어지도록 끓입니다. 떡이 부드러워질 때까지 기다립니다.,떡이 충분히 익고 국물이 걸쭉해질 때까지 끓입니다.,완성된 떡국을 그릇에 담고 대파와 고추를 올려 장식합니다.,"생선(어패류), 대두(간장)",약 300 kcal,"INSERT INTO test_recipe VALUES (64, '생선 김치 떡국', '떡, 생선, 김치, 계란, 대파, 다진 마늘, 소금 또는 간장, 후추, 참기름', 'http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/1.webp', 'http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/2.webp', 'http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/3.webp', 'http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/4.webp', 'http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/5.webp', 'http://kkms4001.iptime.org:45211/static/64. 생선 김치 떡국/6.webp', '생선과 김치를 다진 마늘, 간장, 고춧가루로 양념해 준비합니다.', '양념된 생선, 김치, 무를 냄비에 넣고 물을 추가해 국물 준비를 시작합니다.', '냄비를 중불에 올려 국물이 우러나도록 서서히 끓입니다.', '떡을 넣고 국물이 깊어지도록 끓입니다. 떡이 부드러워질 때까지 기다립니다.', '떡이 충분히 익고 국물이 걸쭉해질 때까지 끓입니다.', '완성된 떡국을 그릇에 담고 대파와 고추를 올려 장식합니다.', '생선(어패류), 대두(간장)', '약 300 kcal');"
65,김치 소갈비찜,"떡, 소고기, 김치, 양파, 대파, 마늘, 생강, 후추",http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/1.webp,http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/2.webp,http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/3.webp,http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/4.webp,http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/5.webp,http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/6.webp,"소갈비, 김치, 떡을 준비하고 다진 마늘, 생강, 간장, 고춧가루 등의 양념을 준비합니다.",뜨거운 냄비에 기름을 살짝 두르고 소갈비를 겉면이 갈색이 나도록 구워줍니다.,"구운 소갈비에 김치와 다진 마늘, 생강, 고춧가루를 넣고 물을 부어 국물을 만듭니다.",냄비를 중불에 두고 모든 재료가 어우러지도록 끓이며 깊은 맛을 내도록 조리합니다.,떡을 추가해 국물의 맛을 흡수하고 부드러워지도록 함께 끓입니다.,모든 재료가 익고 국물이 걸쭉해지면 그릇에 담아 대파로 장식하여 완성합니다.,"대두(간장 포함), 어패류",약 450 kcal,"INSERT INTO test_recipe VALUES (65, '김치 소갈비찜', '떡, 소고기, 김치, 양파, 대파, 마늘, 생강, 후추', 'http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/1.webp', 'http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/2.webp', 'http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/3.webp', 'http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/4.webp', 'http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/5.webp', 'http://kkms4001.iptime.org:45211/static/65. 김치 소갈비찜/6.webp', '소갈비, 김치, 떡을 준비하고 다진 마늘, 생강, 간장, 고춧가루 등의 양념을 준비합니다.', '뜨거운 냄비에 기름을 살짝 두르고 소갈비를 겉면이 갈색이 나도록 구워줍니다.', '구운 소갈비에 김치와 다진 마늘, 생강, 고춧가루를 넣고 물을 부어 국물을 만듭니다.', '냄비를 중불에 두고 모든 재료가 어우러지도록 끓이며 깊은 맛을 내도록 조리합니다.', '떡을 추가해 국물의 맛을 흡수하고 부드러워지도록 함께 끓입니다.', '모든 재료가 익고 국물이 걸쭉해지면 그릇에 담아 대파로 장식하여 완성합니다.', '대두(간장 포함), 어패류', '약 450 kcal');"
66,소갈비찜,"소고기, 감자, 떡, 양파, 대파, 마늘",http://kkms4001.iptime.org:45211/static/66. 소갈비찜/1.webp,http://kkms4001.iptime.org:45211/static/66. 소갈비찜/2.webp,http://kkms4001.iptime.org:45211/static/66. 소갈비찜/3.webp,http://kkms4001.iptime.org:45211/static/66. 소갈비찜/4.webp,http://kkms4001.iptime.org:45211/static/66. 소갈비찜/5.webp,http://kkms4001.iptime.org:45211/static/66. 소갈비찜/6.webp,"소갈비, 감자, 떡을 준비하고 다진 마늘, 간장, 생강, 설탕 등의 양념을 준비합니다.",소갈비를 냄비에 넣어 갈색이 날 때까지 구워줍니다.,"갈비와 함께 감자, 다진 마늘, 간장, 물을 넣고 국물 베이스를 만듭니다.",모든 재료가 잘 어우러지도록 중불에서 끓이며 풍미를 더합니다.,떡을 넣고 국물의 맛이 스며들도록 끓입니다.,모든 재료가 부드럽게 익고 국물이 졸아들면 대파로 장식해 서빙합니다.,대두(간장 포함),약 450 kcal,"INSERT INTO test_recipe VALUES (66, '소갈비찜', '소고기, 감자, 떡, 양파, 대파, 마늘', 'http://kkms4001.iptime.org:45211/static/66. 소갈비찜/1.webp', 'http://kkms4001.iptime.org:45211/static/66. 소갈비찜/2.webp', 'http://kkms4001.iptime.org:45211/static/66. 소갈비찜/3.webp', 'http://kkms4001.iptime.org:45211/static/66. 소갈비찜/4.webp', 'http://kkms4001.iptime.org:45211/static/66. 소갈비찜/5.webp', 'http://kkms4001.iptime.org:45211/static/66. 소갈비찜/6.webp', '소갈비, 감자, 떡을 준비하고 다진 마늘, 간장, 생강, 설탕 등의 양념을 준비합니다.', '소갈비를 냄비에 넣어 갈색이 날 때까지 구워줍니다.', '갈비와 함께 감자, 다진 마늘, 간장, 물을 넣고 국물 베이스를 만듭니다.', '모든 재료가 잘 어우러지도록 중불에서 끓이며 풍미를 더합니다.', '떡을 넣고 국물의 맛이 스며들도록 끓입니다.', '모든 재료가 부드럽게 익고 국물이 졸아들면 대파로 장식해 서빙합니다.', '대두(간장 포함)', '약 450 kcal');"
67,계란 김치 떡국,"김치, 떡, 계란, 마늘, 대파, 양파",http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/1.webp,http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/2.webp,http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/3.webp,http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/4.webp,http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/5.webp,http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/6.webp,"김치, 계란, 떡을 준비하고 다진 마늘, 간장, 고춧가루 등의 양념을 준비합니다.",냄비에 기름을 두르고 김치를 살짝 볶아 향을 낸 후 물을 추가합니다.,"볶은 김치에 물을 넣어 국물 베이스를 만들고, 중불에서 서서히 끓입니다.",떡을 넣어 국물의 맛을 흡수하도록 부드럽게 익힙니다.,풀어둔 계란을 천천히 부어 고운 계란 리본이 생기도록 만듭니다.,모든 재료가 잘 익으면 그릇에 담아 대파로 장식해 따뜻하게 서빙합니다.,"대두(간장 포함), 계란",약 300 kcal,"INSERT INTO test_recipe VALUES (67, '계란 김치 떡국', '김치, 떡, 계란, 마늘, 대파, 양파', 'http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/1.webp', 'http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/2.webp', 'http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/3.webp', 'http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/4.webp', 'http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/5.webp', 'http://kkms4001.iptime.org:45211/static/67. 계란 김치 떡국/6.webp', '김치, 계란, 떡을 준비하고 다진 마늘, 간장, 고춧가루 등의 양념을 준비합니다.', '냄비에 기름을 두르고 김치를 살짝 볶아 향을 낸 후 물을 추가합니다.', '볶은 김치에 물을 넣어 국물 베이스를 만들고, 중불에서 서서히 끓입니다.', '떡을 넣어 국물의 맛을 흡수하도록 부드럽게 익힙니다.', '풀어둔 계란을 천천히 부어 고운 계란 리본이 생기도록 만듭니다.', '모든 재료가 잘 익으면 그릇에 담아 대파로 장식해 따뜻하게 서빙합니다.', '대두(간장 포함), 계란', '약 300 kcal');"
